STATE_CODE,SHRP_ID,CONSTRUCTION_NO,VISIT_DATE,IRI
1,0101,1,"1/10/96, 12:00:00 AM",0.667
1,0101,1,"1/27/98, 12:00:00 AM",0.6796000000000001
1,0101,1,"1/29/03, 12:00:00 AM",0.7316
1,0101,1,"10/11/96, 12:00:00 AM",0.678
1,0101,1,"10/15/97, 12:00:00 AM",0.7026
1,0101,1,"10/30/95, 12:00:00 AM",0.6572
1,0101,1,"12/7/98, 12:00:00 AM",0.7684
1,0101,1,"3/10/02, 12:00:00 AM",0.7058
1,0101,1,"3/14/01, 12:00:00 AM",0.743
1,0101,1,"4/23/98, 12:00:00 AM",0.6946
1,0101,1,"4/27/04, 12:00:00 AM",0.7756000000000001
1,0101,1,"4/8/96, 12:00:00 AM",0.6828000000000001
1,0101,1,"5/4/05, 12:00:00 AM",0.7858
1,0101,1,"7/3/97, 12:00:00 AM",0.687
1,0101,1,"8/12/96, 12:00:00 AM",0.697
1,0101,1,"8/5/98, 12:00:00 AM",0.8104
1,0101,1,"9/28/99, 12:00:00 AM",0.7136
1,0102,1,"1/10/96, 12:00:00 AM",0.9034
1,0102,1,"1/27/98, 12:00:00 AM",0.9722
1,0102,1,"1/29/03, 12:00:00 AM",2.1834
1,0102,1,"10/10/96, 12:00:00 AM",0.898
1,0102,1,"10/15/97, 12:00:00 AM",0.9396
1,0102,1,"10/30/95, 12:00:00 AM",0.8974
1,0102,1,"12/7/98, 12:00:00 AM",1.1208
1,0102,1,"3/10/02, 12:00:00 AM",1.7078
1,0102,1,"3/14/01, 12:00:00 AM",1.373
1,0102,1,"4/23/98, 12:00:00 AM",0.9776
1,0102,1,"4/8/96, 12:00:00 AM",0.9312
1,0102,1,"7/3/97, 12:00:00 AM",0.901
1,0102,1,"8/12/96, 12:00:00 AM",0.909
1,0102,1,"8/25/94, 12:00:00 AM",0.9468
1,0102,1,"8/5/98, 12:00:00 AM",1.2026000000000001
1,0102,1,"9/28/99, 12:00:00 AM",1.1852
1,0102,2,"4/27/04, 12:00:00 AM",2.968
1,0102,2,"5/4/05, 12:00:00 AM",3.0986
1,0103,1,"1/10/96, 12:00:00 AM",0.7936000000000001
1,0103,1,"1/27/98, 12:00:00 AM",0.7978000000000001
1,0103,1,"1/29/03, 12:00:00 AM",0.8044
1,0103,1,"3/10/02, 12:00:00 AM",0.7746000000000001
1,0103,1,"3/14/01, 12:00:00 AM",0.8261999999999999
1,0103,1,"4/27/04, 12:00:00 AM",0.8012
1,0103,1,"5/4/05, 12:00:00 AM",0.8343999999999999
1,0103,1,"7/3/97, 12:00:00 AM",0.7596
1,0103,1,"9/28/99, 12:00:00 AM",0.8311999999999999
1,0104,1,"1/10/96, 12:00:00 AM",0.594
1,0104,1,"1/27/98, 12:00:00 AM",0.6398
1,0104,1,"1/29/03, 12:00:00 AM",0.6598
